Home,Away,Date,Time,League
Girona,Barcelona,16/02,20:00,"Spain • LaLiga"
Cagliari,Us Lecce,16/02,19:45,"Italy • Serie A"
Macclesfield Fc,Brentford,16/02,19:30,"England • FA Cup"
Coventry,Middlesbrough,16/02,20:00,"England • Championship"
Colo Colo,Union La Calera,15/02,23:30,"Chile • Primera Division"
Central Espanol,Penarol Montevide,15/02,23:30,"Uruguay • Primera Division"
Boca Juniors,Ca Platense,15/02,22:30,"Argentina • Primera LPF"
Fbc Melgar,Cd Moquegua,15/02,23:30,"Peru • Liga 1"
Se Palmeiras,Guarani,15/02,23:30,"Brazil • Paulista, Serie A1"
Santos Sp,Velo Clube,15/02,23:30,"Brazil • Paulista, Serie A1"
Ponte Preta,Sao Paulo Fc,15/02,23:30,"Brazil • Paulista, Serie A1"
Ca Rosario Centra,Barracas Central,16/02,01:00,"Argentina • Primera LPF"
Diriangen Fc Diri,Hyh Sebaco Fc,16/02,01:00,"Nicaragua • Primera Division"
Managua Fc,Indigenas De Mata,16/02,01:00,"Nicaragua • Primera Division"
Fortaleza,Boyaca Chico,16/02,01:30,"Colombia • Liga DIMAYOR"
Victoria,Olimpia,16/02,01:30,"Honduras • Liga Nacional. Clau..."
Xelaju Mc,Marquense,16/02,02:00,"Guatemala • Liga Nacional, Cla..."
Persita Tangerang,Psbs Biak,16/02,08:30,"Indonesia • Super League"
Melbourne Victory,Eltham Redbacks,16/02,09:30,"Australia • Victoria Premier L..."
Gabala Fk,Sabah Masazir,16/02,13:00,"Azerbaijan • Premier League"
Railways,Sa Meanzel Bourgu,16/02,13:00,"Tunisia • Ligue 2"
Majd Fc,Dibba Al-Hisn,16/02,13:20,"United Arab Emirates • First D..."
Beitar Jerusalem,Maccabi Tel Aviv,16/02,18:30,"Israel • Premier League"
Atromitos Athens,Panserraikos,16/02,16:00,"Greece • Super League"
Al-Ahli Saudi Fc,Shabab Al Ahli Du,16/02,16:00,"International Clubs • AFC Cham..."
Sharjah Fc,Fc Nasaf,16/02,16:00,"International Clubs • AFC Cham..."
Fk Zeljeznicar Sa,Fk Rudar Prijedor,16/02,17:00,"Bosnia & Herzegovina • Premije..."
Al Shorta,Al Duhail Sc,16/02,18:15,"International Clubs • AFC Cham..."
Al Hilal Sfc,Al Wahda Fc (Uae),16/02,18:15,"International Clubs • AFC Cham..."
Jong Ajax Amsterd,Sc Cambuur,16/02,19:00,"Netherlands • Eerste Divisie"
Fluminense Fc,Bangu,16/02,21:00,"Brazil • Carioca, Serie A"
Vila Nova,Anapolis Fc Go,16/02,22:30,"Brazil • Goiano"
Quindio,Barranquilla,17/02,00:30,"Colombia • Torneo DIMAYOR"
Bruk-Bet Termalic,Gornik Zabrze,16/02,18:00,"Poland • Ekstraklasa"
Real Sociedad B,Malaga Cf,16/02,19:30,"Spain • LaLiga 2"
Albion Fc,Ca Cerro,16/02,22:00,"Uruguay • Primera Division"
Montevideo City T,Ca Juventud De La,17/02,00:30,"Uruguay • Primera Division"
Shamakhi Fk,Turan Tovuz,16/02,10:30,"Azerbaijan • Premier League"
Jong Fc Utrecht,Willem Ii Tilburg,16/02,19:00,"Netherlands • Eerste Divisie"
Future Fc,Kahrabaa Ismailia,16/02,15:00,"Egypt • Premier League"
