home,away,league,majority_time,outlier_bookies,variation_gap_minutes
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
JKT Tanzania,Coastal Union,PL,16:30,['Xscores'],90.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Elche,Osasuna,Football,23:00,['Betika'],180.0
Hull,Chelsea,Football,22:45,['Betika'],165.0
Pisa,Milan,Football,22:45,['Betika'],165.0
Monaco,Nantes,Football,23:05,['Betika'],185.0
Rennes,Psg,Football,21:00,['Betika'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Galatasaray,Eyupspor,Super Lig,19:00,['Betika'],1320.0
Galatasaray,Eyupspor,Football,19:00,['Betika'],60.0
Rennes,Psg,Ligue 1,20:00,['Betika'],120.0
Hull,Chelsea,FA Cup,21:45,['Betika'],120.0
Wrexham,Ipswich,FA Cup,21:45,['Betika'],120.0
Wrexham,Ipswich,Football,21:45,['Betika'],105.0
Elche,Osasuna,LaLiga,22:00,['Betika'],120.0
Monaco,Nantes,Ligue 1,22:05,['Betika'],120.0
Elche,Osasuna,Football,23:00,['Betika'],180.0
Hull,Chelsea,Football,22:45,['Betika'],165.0
Pisa,Milan,Football,22:45,['Betika'],165.0
Monaco,Nantes,Football,23:05,['Betika'],185.0
Rennes,Psg,Football,21:00,['Betika'],60.0
Antalyaspor,Samsunspor,SL,20:00,['Xscores'],60.0
Galatasaray,Eyupspor,Super Lig,19:00,['Betika'],1320.0
Galatasaray,Eyupspor,Football,19:00,['Betika'],60.0
Rennes,Psg,Ligue 1,20:00,['Betika'],120.0
Hull,Chelsea,FA Cup,21:45,['Betika'],120.0
Wrexham,Ipswich,FA Cup,21:45,['Betika'],120.0
Wrexham,Ipswich,Football,21:45,['Betika'],105.0
Elche,Osasuna,LaLiga,22:00,['Betika'],120.0
Monaco,Nantes,Ligue 1,22:05,['Betika'],120.0
Elche CF vs CA Osasuna,Football,23:00,['Betika'],180.0,23:00,20:00,—
Hull City vs Chelsea FC,Football,22:45,['Betika'],165.0,22:45,20:00,—
Pisa SC vs AC Milan,Football,22:45,['Betika'],165.0,22:45,20:00,—
AS Monaco vs FC Nantes,Football,23:05,['Betika'],185.0,23:05,20:00,—
Stade Rennais FC vs Paris Saint-Germain,Football,21:00,['Betika'],60.0,21:00,20:00,—
Antalyaspor vs Samsunspor,Football,20:00,['Xscores'],60.0,20:00,—,19:00
Galatasaray vs Eyupspor,SL,19:00,['Betika'],1320.0,—,20:00,19:00
Rennes vs Paris Saint-Germain,L1,20:00,['Betika'],1320.0,—,18:00,20:00
Hull vs Chelsea,FAC,21:45,['Betika'],120.0,—,19:45,21:45
Wrexham vs Ipswich,FAC,21:45,['Betika'],120.0,—,20:00,21:45
Elche vs Osasuna,L,22:00,['Betika'],120.0,—,20:00,22:00
Monaco vs Nantes,L1,22:05,['Betika'],120.0,—,20:05,22:05
